"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"03/01/2023";"0000";"22,6";"22,7";"22,5";"65,6";"67,6";"65,6";"";"";"";"916,2";"916,4";"915,9";"1,8";"22,0";"2,2";"";"0,0"
"03/01/2023";"0100";"22,5";"22,6";"22,2";"69,2";"69,2";"65,6";"";"";"";"916,8";"916,9";"916,2";"0,3";"0,0";"2,4";"";"0,0"
"03/01/2023";"0200";"22,7";"22,8";"22,5";"68,7";"70,5";"68,7";"";"";"";"916,6";"917,0";"916,6";"0,9";"0,0";"1,5";"";"0,0"
"03/01/2023";"0300";"22,0";"22,7";"22,0";"72,1";"72,1";"68,7";"";"";"";"915,8";"916,8";"915,8";"0,1";"157,0";"1,8";"";"0,0"
"03/01/2023";"0400";"21,4";"22,0";"21,4";"76,7";"76,7";"72,1";"";"";"";"915,5";"916,2";"";"0,1";"157,0";"0,7";"";"0,0"
"03/01/2023";"0500";"21,4";"21,5";"21,4";"75,7";"77,5";"75,7";"";"";"";"914,2";"915,5";"914,2";"1,3";"337,0";"2,0";"";"0,0"
"03/01/2023";"0600";"20,8";"21,4";"20,8";"76,6";"76,6";"74,1";"";"";"";"913,9";"914,8";"913,7";"0,7";"0,0";"1,3";"";"0,0"
"03/01/2023";"0700";"20,5";"20,9";"20,5";"79,3";"79,3";"76,6";"";"";"";"913,5";"913,9";"913,3";"1,5";"0,0";"1,8";"";"0,0"
"03/01/2023";"0800";"20,5";"20,6";"20,5";"80,1";"80,1";"79,3";"";"";"";"913,9";"914,1";"913,5";"0,3";"315,0";"2,4";"";"0,0"
"03/01/2023";"0900";"20,8";"20,8";"20,5";"80,0";"80,5";"79,8";"";"";"";"914,6";"914,6";"914,0";"0,3";"0,0";"1,6";"";"0,0"
"03/01/2023";"1000";"21,1";"21,1";"20,8";"79,3";"80,1";"79,3";"";"";"";"915,2";"915,3";"914,2";"0,3";"337,0";"2,6";"";"0,0"
"03/01/2023";"1100";"22,1";"22,1";"21,1";"77,5";"79,5";"77,5";"";"";"";"916,3";"916,3";"915,2";"0,5";"180,0";"1,3";"";"0,0"
"03/01/2023";"1200";"23,0";"23,0";"22,1";"75,3";"77,8";"75,3";"";"";"";"916,3";"916,3";"915,6";"1,3";"0,0";"2,2";"";"0,0"
"03/01/2023";"1300";"26,1";"26,2";"23,0";"62,5";"69,4";"62,5";"";"";"";"917,1";"917,1";"915,8";"3,0";"337,0";"1,3";"";"0,0"
"03/01/2023";"1400";"27,0";"27,0";"26,1";"58,6";"62,5";"58,6";"";"";"";"916,5";"917,3";"916,5";"1,8";"337,0";"2,0";"";"0,0"
"03/01/2023";"1500";"27,6";"27,6";"26,1";"57,1";"60,2";"57,1";"";"";"";"915,9";"917,0";"915,9";"0,1";"135,0";"2,0";"";"0,0"
"03/01/2023";"1600";"21,5";"28,3";"20,5";"92,9";"92,9";"53,3";"";"";"";"916,2";"917,2";"915,9";"0,7";"180,0";"1,6";"";"7,0"
"03/01/2023";"1700";"25,8";"25,8";"21,5";"89,6";"99,2";"89,6";"";"";"";"915,5";"916,1";"915,1";"2,6";"0,0";"2,6";"";"0,0"
"03/01/2023";"1800";"24,8";"25,8";"24,8";"74,3";"89,6";"74,3";"";"";"";"914,5";"915,6";"914,5";"1,1";"337,0";"2,6";"";"0,0"
"03/01/2023";"1900";"27,5";"28,1";"25,8";"59,4";"67,8";"58,6";"";"";"";"914,7";"915,1";"914,1";"0,7";"0,0";"2,4";"";"0,0"
"03/01/2023";"2000";"25,8";"27,3";"25,4";"66,9";"66,9";"60,3";"";"";"";"914,4";"915,1";"914,3";"2,2";"0,0";"2,2";"";"0,0"
"03/01/2023";"2100";"23,2";"26,8";"23,2";"73,8";"73,8";"62,7";"";"";"";"914,5";"914,8";"913,8";"2,4";"337,0";"2,6";"";"0,0"
"03/01/2023";"2200";"21,3";"23,2";"21,1";"87,0";"87,0";"73,7";"";"";"";"914,6";"915,0";"914,3";"1,6";"0,0";"2,4";"";"0,2"
"03/01/2023";"2300";"21,7";"21,7";"21,2";"85,4";"88,8";"85,4";"";"";"";"915,4";"915,5";"914,6";"1,1";"337,0";"1,6";"";"0,0"
"04/01/2023";"0000";"20,7";"21,9";"20,7";"86,9";"86,9";"82,3";"";"";"";"916,6";"916,6";"915,3";"0,7";"0,0";"1,1";"";"0,4"
"04/01/2023";"0100";"20,7";"20,7";"20,6";"90,5";"90,5";"86,9";"";"";"";"916,2";"916,6";"915,5";"0,9";"0,0";"1,3";"";"0,2"
"04/01/2023";"0200";"20,5";"20,7";"20,5";"92,9";"92,9";"90,9";"";"";"";"915,5";"916,1";"915,5";"1,5";"0,0";"1,5";"";"0,0"
